Time,GPS,Longitude,Latitude,Accelerometer,X,Y,Z,0C/Left Charge Connection Status/bit,0D/Right Charge Connection Status/bit,2A/SOC/%,2B/Battery Energy/kWh,2E/Total Current/A,2F/Total Voltage/%,2G/Lowest Battery Temp/F,2H/Highest Battery Temp/F,2I/Speed/mph,2J/Motor RPM/rpm,2K/Total Mileage/mile,2L/Range/mile,2M/Left Charge Status/bit,2N/Right Charge Status/bit,2T/WAVE Status/bit,2U/High Voltage/bit,2Z/Motor Voltage/V,3C/Regen/kWh,3D/Once Charged Energy/kWh
2020-01-01 01:00:01,A,-117.82853,33.645162,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:01:01,A,-117.828518,33.645233,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:02:01,A,-117.828497,33.645312,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:03:01,A,-117.828513,33.645327,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:04:01,A,-117.828552,33.645307,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:05:01,A,-117.82857,33.645295,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:06:01,A,-117.828595,33.645295,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:07:01,A,-117.828635,33.645275,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:08:01,A,-117.828537,33.645305,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:09:01,A,-117.828578,33.645288,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:10:01,A,-117.828603,33.645277,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:11:01,A,-117.82859,33.645288,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:12:01,A,-117.828578,33.645317,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:13:01,A,-117.828597,33.645288,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:14:01,A,-117.828605,33.645258,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:15:01,A,-117.828623,33.645263,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:16:01,A,-117.828662,33.645262,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:17:01,A,-117.828683,33.645252,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:18:01,A,-117.828725,33.645223,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:19:01,A,-117.828655,33.645282,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:20:01,A,-117.828683,33.645217,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:21:01,A,-117.828677,33.645207,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:22:01,A,-117.82865,33.645233,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
